Marca de temps,Language,How old are you?,Do you share your flat?,How many people do live in the house? ,What kind of animals live in the house?,What kind of relationship do you have with your flatmates?,How satisfied are you with the cleanliness of the house?,Do you outsource the house tasks?,Which tool do you use to schedule your tasks?,How often do you rotate the home tasks?,What kind of tasks are you responsible of?,"How do you deal with the shared expenses? (toilet paper, cleaning products, etc)",Do you rather cleaning alone or all together?,Would you use an app to manage the house tasks?,How likely you are to use this features? [Setting up tasks/shifts/house rules],How likely you are to use this features? [Tracking common expenses],How likely you are to use this features? [Receiving reports of each roommate's contribution],How likely you are to use this features? [Receiving notifications / reviewing task calendar],How likely you are to use this features? [Managing shopping list for household products]
19/01/2021 16:04:04,English,18–24,Yes,,,,,,,,,,,,,,,,
19/01/2021 16:24:04,English,25–30,Yes,2,No pets,"Friends, Family",4,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,No,,,,,
19/01/2021 16:26:49,Italian,More than 37,Yes,2,Cats,"Friends, Family",4,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Laundry, Buying common items",We don't really think about it,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
19/01/2021 16:42:01,English,31–37,Yes,3,Cats,"Friends, Family",3,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,Alone,No,,,,,
19/01/2021 18:04:27,Spanish,More than 37,Yes,3,Cats,"Friends, Family",5,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage",Split the cost,Alone,Yes,Likely,Likely,Neutral,Very likely,Neutral
19/01/2021 18:04:27,French,25–30,No,,,,,,,,,,,,,,,,
19/01/2021 20:03:53,Italian,More than 37,Yes,2,Cats,"Friends, Family",4,No,We don't schedule our tasks,Twice a week,"Cleaning kitchen, Cleaning bathroom/toilets, Laundry, Buying common items",We don't really think about it,Alone,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
19/01/2021 22:31:10,English,31–37,No,,,,,,,,,,,,,,,,
19/01/2021 22:43:33,English,25–30,Yes,4,No pets,"Friends, Family",4,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage",Split the cost,All together,Yes,Very likely,Very likely,Very likely,Very likely,Very likely
19/01/2021 22:56:45,English,More than 37,Yes,4,No pets,"Friends, Family",3,No,We don't schedule our tasks,Once a week,Cleaning bathroom/toilets,Buy it in turns,Alone,No,,,,,
20/01/2021 0:50:29,French,25–30,Yes,4,No pets,Acquaintances,3,No,We don't schedule our tasks,Never,"Cleaning kitchen, Buying common items",Split the cost,Alone,No,,,,,
20/01/2021 0:50:29,Spanish,25–30,No,,,,,,,,,,,,,,,,
20/01/2021 2:11:47,Spanish,25–30,Yes,2,Cats,Partner,3,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",Split the cost,Alone,Yes,Neutral,Neutral,Likely,Very likely,Very likely
20/01/2021 2:11:47,French,25–30,Yes,3,No pets,People I met on app,3,Yes,,,,,,,,,,,
20/01/2021 11:24:49,Italian,18–24,Yes,4,No pets,People I met on app,3,Yes,,,,,,,,,,,
20/01/2021 11:53:45,English,More than 37,Yes,2,Dogs,"Friends, Family",5,Yes,,,,,,,,,,,
20/01/2021 15:25:07,French,25–30,Yes,5,No pets,"Friends, Family",5,Yes,,,,,,,,,,,
20/01/2021 15:25:07,Spanish,25–30,No,,,,,,,,,,,,,,,,
20/01/2021 15:25:10,Spanish,More than 37,No,,,,,,,,,,,,,,,,
20/01/2021 16:34:01,English,25–30,Yes,2,Cats,"Friends, Family",3,No,We just remember,Once a week,"Cleaning living-room, Cleaning kitchen, Throwing the garbage, Laundry, Buying common items",Split the cost,All together,Yes,Likely,Very likely,Neutral,Likely,Very likely
20/01/2021 22:31:22,English,31–37,No,,,,,,,,,,,,,,,,
20/01/2021 22:31:48,English,31–37,Yes,3,Cats,Acquaintances,5,Yes,,,,,,,,,,,
21/01/2021 11:20:45,English,25–30,Yes,2,Dogs,"Friends, Family",4,No,Trello,Once a week,Cleaning living-room,We don't really think about it,All together,Yes,Very likely,Very likely,Neutral,Very unlikely,Very likely
21/01/2021 19:19:40,English,31–37,No,,,,,,,,,,,,,,,,
21/01/2021 22:37:29,English,More than 37,Yes,3,Dogs,"Friends, Family",3,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Buying common items",Split the cost,Alone,No,,,,,
22/01/2021 13:47:53,French,31–37,No,,,,,,,,,,,,,,,,
22/01/2021 17:02:03,French,25–30,No,,,,,,,,,,,,,,,,
22/01/2021 21:02:59,French,18–24,Yes,2,No pets,"Friends, Family",5,Yes,,,,,,,,,,,
23/01/2021 4:59:29,English,25–30,No,,,,,,,,,,,,,,,,
23/01/2021 10:39:44,English,18–24,Yes,2,No pets,"Friends, Family",5,Yes,,,,,,,,,,,
23/01/2021 15:05:41,Spanish,More than 37,Yes,2,Dogs,"Friends, Family",5,Yes,,,,,,,,,,,
23/01/2021 15:06:55,English,More than 37,Yes,2,Dogs,"Friends, Family",5,No,We just remember,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,Alone,No,,,,,
23/01/2021 15:29:48,English,25–30,No,,,,,,,,,,,,,,,,
23/01/2021 15:30:25,English,25–30,No,,,,,,,,,,,,,,,,
23/01/2021 15:31:09,English,25–30,Yes,3,Dogs,"Friends, Family",5,Yes,,,,,,,,,,,
23/01/2021 15:32:33,English,25–30,Yes,4,No pets,"Friends, Family",4,Yes,,,,,,,,,,,
23/01/2021 15:34:38,English,31–37,Yes,2,Cats,"Friends, Family",5,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning kitchen, Cleaning windows, Buying common items",Split the cost,All together,Yes,Neutral,Very likely,Neutral,Likely,Very likely
23/01/2021 17:02:45,English,25–30,Yes,2,Dogs,"Friends, Family",4,Yes,,,,,,,,,,,
23/01/2021 18:18:23,English,31–37,Yes,3,Dogs,"Friends, Family",5,Yes,,,,,,,,,,,
23/01/2021 20:01:24,English,25–30,No,,,,,,,,,,,,,,,,
23/01/2021 22:00:27,English,18–24,Yes,3,No pets,"Friends, Family",4,Yes,,,,,,,,,,,
23/01/2021 23:26:56,English,31–37,Yes,3,Dogs,"Friends, Family",5,Yes,,,,,,,,,,,
24/01/2021 10:10:25,English,25–30,No,,,,,,,,,,,,,,,,
24/01/2021 10:26:44,English,18–24,No,,,,,,,,,,,,,,,,
24/01/2021 10:43:13,English,25–30,No,,,,,,,,,,,,,,,,
24/01/2021 10:53:58,English,25–30,Yes,2,Dogs,Other,4,Yes,,,,,,,,,,,
24/01/2021 11:22:59,English,31–37,No,,,,,,,,,,,,,,,,
24/01/2021 11:29:28,English,18–24,Yes,3,No pets,"Friends, Family",2,Yes,,,,,,,,,,,
24/01/2021 12:04:03,English,18–24,No,,,,,,,,,,,,,,,,
24/01/2021 13:47:28,English,25–30,No,,,,,,,,,,,,,,,,
24/01/2021 14:51:37,English,18–24,Yes,3,No pets,"Friends, Family",5,No,We just remember,Never,"Cleaning kitchen, Laundry, Cleaning my room",I buy my own stuff,Alone,Yes,Very likely,Very likely,Neutral,Likely,Very likely
24/01/2021 15:40:37,English,25–30,No,,,,,,,,,,,,,,,,
24/01/2021 15:47:38,English,More than 37,Yes,3,No pets,People I met on app,5,No,We just remember,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Buying common items",Split the cost,Alone,No,,,,,
24/01/2021 17:24:45,English,31–37,Yes,2,No pets,"Friends, Family",3,No,We don't schedule our tasks,Never,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Cleaning windows, Throwing the garbage, Laundry, Buying common items",We don't really think about it,All together,No,,,,,
24/01/2021 17:55:55,English,25–30,No,,,,,,,,,,,,,,,,
24/01/2021 18:00:32,English,25–30,No,,,,,,,,,,,,,,,,
24/01/2021 18:01:37,English,25–30,Yes,2,No pets,"Friends, Family",5,No,We just remember,Twice a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Laundry",We don't really think about it,All together,Yes,Very likely,Likely,Very likely,Very likely,Very likely
24/01/2021 18:32:20,English,18–24,Yes,3,No pets,"Friends, Family",4,No,White board on the fridge door,Once a week,"Cleaning bathroom/toilets, Cleaning living-room, Cleaning kitchen, Throwing the garbage, Buying common items",Buy it in turns,All together,Yes,Neutral,Very unlikely,Very unlikely,Neutral,Very unlikely
